Taxon ID,Species name,Num many Complete Genomes,Link to all Genomes,Link to Genome Used
686340,Methylomicrobium album,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid686340%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid686340%5BOrganism%3Anoexp%5D
1091494,Methylotuvimicrobium alcaliphilum,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1091494%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1091494%5BOrganism%3Anoexp%5D
243233,Methylococcus capsulatus,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid243233%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid243233%5BOrganism%3Anoexp%5D
95641,Methylotuvimicrobium buryatense,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1727196%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1727196%5BOrganism%3Anoexp%5D
1727196,Methylomonas,6,https://www.ncbi.nlm.nih.gov/genome/browse#!/prokaryotes/13566/,https://www.ncbi.nlm.nih.gov/nuccore/CP123897.1
1432792,Methylocaldum marinum,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1432792%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1432792%5BOrganism%3Anoexp%5D
675511,Methylotuvimicrobium buryatense,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid675511%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid675511%5BOrganism%3Anoexp%5D
173365,Methylobacter tundripaludum,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid173365%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid173365%5BOrganism%3Anoexp%5D
1408450,Methylobacter tundripaludum,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1408450%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1408450%5BOrganism%3Anoexp%5D
1408451,Methylobacter tundripaludum,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1408451%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1408451%5BOrganism%3Anoexp%5D
39773,Methylomicrobium,1,https://www.ncbi.nlm.nih.gov/genome/browse#!/prokaryotes/74696/,https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP024202.1
107637,Methylomonas,6,https://www.ncbi.nlm.nih.gov/genome/browse#!/prokaryotes/13566/,https://www.ncbi.nlm.nih.gov/nuccore/CP123897.1
1797072,Methylomonas,6,https://www.ncbi.nlm.nih.gov/genome/browse#!/prokaryotes/13566/,https://www.ncbi.nlm.nih.gov/nuccore/CP123897.2
1538553,Methylomonas denitrificans,1,https://www.ncbi.nlm.nih.gov/genome/?term=txid1538553%5BOrganism%3Anoexp%5D,https://www.ncbi.nlm.nih.gov/genome/?term=txid1538553%5BOrganism%3Anoexp%5D